gene_id,CHOY-16-01,CHOY-16-04,CHOY-16-05,CHOY-16-08,CHOY-16-11,CHOY-16-12,CHOY-16-R-01,CHOY-16-R-03,CHOY-16-R-04,CHOY-16-R-05,CHOY-16-R-2
ENSAMXG00000000001,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000002,148,226,158,344,172,215,119,140,133,156,143
ENSAMXG00000000003,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000004,80,75,99,96,53,56,74,94,65,42,42
ENSAMXG00000000005,13,0,7,12,0,0,18,0,0,0,0
ENSAMXG00000000006,16,27,21,52,20,47,10,0,0,0,12
ENSAMXG00000000007,0,7,0,26,6,23,11,10,0,0,7
ENSAMXG00000000008,1175,411,640,616,611,903,643,574,266,419,450
ENSAMXG00000000009,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000010,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000011,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000012,3755,3401,4128,4697,6882,4008,3694,6463,4949,6638,4035
ENSAMXG00000000013,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000014,230,51,7,60,26,21,140,43,28,25,46
ENSAMXG00000000015,0,0,0,19,13,0,0,7,0,0,6
ENSAMXG00000000016,126,107,79,161,118,168,107,149,40,86,112
ENSAMXG00000000017,62,73,67,197,17,55,60,93,34,30,65
ENSAMXG00000000018,84,97,0,63,62,31,24,0,7,0,18
ENSAMXG00000000019,89,11,56,63,23,31,89,90,72,57,50
ENSAMXG00000000020,0,0,0,0,8,0,0,0,0,0,0
ENSAMXG00000000021,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000022,55,18,26,64,10,21,33,0,9,41,19
ENSAMXG00000000023,837,1061,514,664,482,784,881,334,415,755,542
ENSAMXG00000000024,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000025,11,11,16,57,16,25,0,0,0,11,0
ENSAMXG00000000026,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000027,317,300,208,448,243,150,178,255,120,170,133
ENSAMXG00000000028,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000029,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000030,0,12,5,15,8,0,10,0,10,5,0
ENSAMXG00000000031,0,0,0,0,0,0,0,0,0,0,0
ENSAMXG00000000032,21,0,9,20,12,0,0,0,0,0,0
ENSAMXG00000000033,110,118,145,131,109,169,103,80,89,102,92
ENSAMXG00000000034,0,7,19,20,19,0,0,3,0,0,0
ENSAMXG00000000035,21,13,8,16,15,17,12,6,6,6,6
ENSAMXG00000000036,0,0,0,43,0,0,0,0,14,0,0
