"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSAMXG00000015251",4894.60260865591,2.71425630101863,0.181151700479313,14.9833332717106,9.43632086211698e-51,1.55972947529932e-46
"ENSAMXG00000018789",1053.81912652303,-1.76243868639374,0.167969869123563,-10.4925883171181,9.34331946373186e-26,7.72178637080119e-22
"ENSAMXG00000004863",1731.53296297894,1.78054410338728,0.182098997198889,9.7778907669797,1.40099662608206e-22,7.71902441083679e-19
"ENSAMXG00000015436",61.6092946839589,-4.34539833476117,0.477488023053305,-9.10053891399087,8.98847016964645e-20,3.71426058585215e-16
"ENSAMXG00000001140",327.376615621603,-2.60747856058621,0.298420022885992,-8.73761262856805,2.38088278047414e-18,6.9012061352816e-15
"ENSAMXG00000016385",1180.77611148476,-1.98139264596524,0.226915236612866,-8.73186250311451,2.50512655403773e-18,6.9012061352816e-15
"ENSAMXG00000007159",363.908073967822,2.68915140926918,0.309375179035,8.69220154524729,3.55482731661115e-18,7.78125301571093e-15
"ENSAMXG00000011312",817.096966458242,1.31914848560234,0.151876920941003,8.68564148804914,3.76610951211128e-18,7.78125301571093e-15
"ENSAMXG00000006520",362.328744728823,-1.21793782930993,0.144465798494301,-8.43063093136175,3.43806469886188e-17,5.77808635291684e-14
"ENSAMXG00000013348",763.769883745737,-1.37666084209484,0.163402683434265,-8.42495859407755,3.60877843216582e-17,5.77808635291684e-14
"ENSAMXG00000024995",376.399592297223,2.82427186933425,0.335522942495897,8.41752235577389,3.84529916401992e-17,5.77808635291684e-14
"ENSAMXG00000019779",69.6797528639479,-2.44954622996933,0.292676896691635,-8.36945538803557,5.78851376970901e-17,7.86609729946208e-14
"ENSAMXG00000006631",485.474782221474,-0.954832799564341,0.11419241913282,-8.36161285324687,6.18665768606734e-17,7.86609729946208e-14
"ENSAMXG00000015442",169.664217400326,-3.45262559158353,0.421270449749635,-8.19574597182273,2.49043791181494e-16,2.94031773174208e-13
"ENSAMXG00000015164",1737.8118989573,2.2533977198978,0.278924727532464,8.07887396658127,6.53675412440603e-16,7.20306726148715e-13
"ENSAMXG00000013242",227.853178613659,-1.94679640693394,0.241550101512969,-8.05959672440633,7.65465538929933e-16,7.90773743310804e-13
"ENSAMXG00000013762",89.2101704180893,-24.4071826646023,3.03795825459466,-8.03407440760204,9.42879649152154e-16,9.16756336519762e-13
"ENSAMXG00000010409",115.070901121455,-2.64753578637924,0.333058162395845,-7.94916950040877,1.87766000326288e-15,1.72421345521845e-12
"ENSAMXG00000019711",110.047155782395,-1.66653867345836,0.211066221036657,-7.89580950126987,2.88436957702863e-15,2.5092497230898e-12
"ENSAMXG00000005574",184.880300697784,-1.84806535155553,0.239072584780399,-7.73014335061914,1.07425545728546e-14,8.87818422673568e-12
"ENSAMXG00000005599",198.480371341997,-1.52939956053067,0.202178323389363,-7.56460700084691,3.89038987234698e-14,3.03229188247958e-11
"ENSAMXG00000016011",86.5616584810398,-22.949803615633,3.03796817238502,-7.55432654767276,4.2103263817126e-14,3.03229188247958e-11
"ENSAMXG00000000911",153.552361796575,1.74340264271989,0.230790582454104,7.55404585482418,4.21941516710209e-14,3.03229188247958e-11
"ENSAMXG00000005920",186.432893440199,-1.97738421889726,0.262238649714705,-7.54039963616537,4.68533379008557e-14,3.22682842568018e-11
"ENSAMXG00000017217",345.879096074045,-1.45125266605419,0.193013720495173,-7.51890934142418,5.52350678269519e-14,3.55132471625677e-11
"ENSAMXG00000020324",139.37541100722,-1.40889509347347,0.1874170421127,-7.51743319386212,5.58620864073301e-14,3.55132471625677e-11
"ENSAMXG00000006234",418.140751091746,-1.86737968939649,0.249367795023866,-7.48845571344837,6.96886934022975e-14,4.26623856757991e-11
"ENSAMXG00000009464",283.519212260833,2.20005219215858,0.295125401778297,7.45463514459286,9.01168618295659e-14,5.1960287772372e-11
"ENSAMXG00000015084",302.253866826873,-1.32710787399846,0.178069471669055,-7.45275347626631,9.14119997172368e-14,5.1960287772372e-11
"ENSAMXG00000017625",173.945051511099,1.31451454301851,0.176477126959565,7.44863975102958,9.43074979231146e-14,5.1960287772372e-11
"ENSAMXG00000008092",188.650301333741,1.71091064621448,0.232284900829149,7.36556978136474,1.76391826387814e-13,9.40509838181995e-11
"ENSAMXG00000019075",156.429162301069,-2.16087005312616,0.295438673635971,-7.31410693980001,2.59098744421067e-13,1.33832598329244e-10
"ENSAMXG00000004953",22.3741514875136,-7.71880959397989,1.06610171652986,-7.24021870924702,4.47961761592612e-13,2.24374544162554e-10
"ENSAMXG00000009848",170.627850524521,-1.53150475073433,0.21198444681796,-7.22460903959384,5.02545497177905e-13,2.44311015378047e-10
"ENSAMXG00000005684",252.528765727101,1.87552340803156,0.25984759203697,7.21778252139708,5.28421333803477e-13,2.49550749326791e-10
"ENSAMXG00000018257",275.127497823939,-1.31672163826634,0.182669047834646,-7.20823617287507,5.66812612755752e-13,2.60245713228884e-10
"ENSAMXG00000006091",1216.30038016367,-1.19272714369078,0.165661682821105,-7.1997768185102,6.03111953473994e-13,2.69428039972206e-10
"ENSAMXG00000009417",101.775852325164,-2.14868723520002,0.301290355197353,-7.13161638975326,9.91970202140318e-13,4.2338609277926e-10
"ENSAMXG00000015960",438.876547074293,1.53904805862461,0.215835651948036,7.13064799412819,9.98974990525207e-13,4.2338609277926e-10
"ENSAMXG00000009649",192.120899683323,2.23035266220044,0.315309657598848,7.07353107794117,1.51040076975262e-12,6.24135358081026e-10
"ENSAMXG00000008239",165.510124922255,-2.17508241453305,0.309035153286722,-7.03830095508589,1.94598028596099e-12,7.84514832845103e-10
"ENSAMXG00000007206",17.3096695314961,-7.34579303776781,1.05216363374211,-6.98160704494401,2.91822424738423e-12,1.14593763449586e-09
"ENSAMXG00000011827",105.614473112646,-1.77461482697428,0.254293444720444,-6.97861019943001,2.98114334099596e-12,1.14593763449586e-09
"ENSAMXG00000024711",60.5699807786214,-2.33791349020928,0.336446857776316,-6.9488343736104,3.68316647916639e-12,1.38361497123048e-09
"ENSAMXG00000007204",258.864558623368,-1.41676031741348,0.204435212812357,-6.93011882798229,4.20487270084006e-12,1.54449646382634e-09
"ENSAMXG00000003580",94.7074433382111,-2.31593811867713,0.334595413570073,-6.92160748399533,4.46547126660035e-12,1.60456031664429e-09
"ENSAMXG00000013478",79.0727688843273,2.9770814025087,0.430693648379808,6.91229465237749,4.76876028015364e-12,1.67708167384382e-09
"ENSAMXG00000019233",184.016863315829,-1.45707336487366,0.212153219343179,-6.86802382440731,6.50973516649573e-12,2.24165442847933e-09
"ENSAMXG00000000453",246.819623841794,-1.40380303031946,0.204523888919669,-6.86376069678018,6.7070951743482e-12,2.24173915202403e-09
"ENSAMXG00000003787",1418.33935786773,1.20803996521643,0.17604289406252,6.86219101117141,6.78123041933581e-12,2.24173915202403e-09
"ENSAMXG00000014348",109.663503530859,-1.67461204180942,0.244259957409712,-6.85585987800894,7.08848322359125e-12,2.29736351377921e-09
"ENSAMXG00000004705",137.639643610749,1.41591539270986,0.208098136892479,6.80407529761522,1.0170033914913e-11,3.23270174191533e-09
"ENSAMXG00000019631",119.190294877161,-1.67058202037454,0.245852843352661,-6.79504860547084,1.08276017599831e-11,3.37678168850491e-09
"ENSAMXG00000003267",264.741778378346,1.41914984463125,0.209663311866933,6.76870851649976,1.29937020840479e-11,3.977275958282e-09
"ENSAMXG00000014757",72.0808855585223,-2.21094353978188,0.326860800784419,-6.76417464093564,1.34071284438633e-11,4.02920774633848e-09
"ENSAMXG00000000710",1278.99866222955,-8.0421911025438,1.19050678316496,-6.75526693024262,1.42572524635618e-11,4.20818082089667e-09
"ENSAMXG00000006691",18.1996525456559,-7.42306136418702,1.10252897855738,-6.73275851116386,1.664762422917e-11,4.82751896287634e-09
"ENSAMXG00000027480",30.3738719075003,-2.84772222431339,0.423236611863368,-6.72844017859378,1.71491473766446e-11,4.88721132738895e-09
"ENSAMXG00000015965",171.043598491759,-1.85778062370737,0.276223385383188,-6.72564569842694,1.74815466631619e-11,4.89749974229498e-09
"ENSAMXG00000021479",53.2936774741476,-3.48482320298608,0.518833868132472,-6.71664557198164,1.85955530468484e-11,5.12276493852262e-09
"ENSAMXG00000017759",553.598302482246,-1.40812411468693,0.210447253412142,-6.69110236344708,2.21495651396603e-11,6.00180593759745e-09
"ENSAMXG00000015252",48.8239507516762,-2.04743772471945,0.306213911244109,-6.68629885690355,2.28885371670456e-11,6.1020101747435e-09
"ENSAMXG00000006184",1068.74088823578,1.41793022234699,0.212996418397421,6.6570613394134,2.79356622371092e-11,7.3293422399552e-09
"ENSAMXG00000018985",218.437638729059,2.76439559161154,0.416441859854253,6.63813093280063,3.17685616630268e-11,8.20472743325267e-09
"ENSAMXG00000020804",651.934053719399,-1.4191448739924,0.214073227849153,-6.62924966494365,3.37397501484384e-11,8.57975892620827e-09
"ENSAMXG00000000670",15.0922041655204,-7.14702641591644,1.08128328912121,-6.60976312851837,3.8493544727184e-11,9.57480276894159e-09
"ENSAMXG00000015361",710.58603456478,0.897379624987736,0.135790780864219,6.60854602408575,3.8811288373107e-11,9.57480276894159e-09
"ENSAMXG00000004979",29.3713795996355,-3.65471065529238,0.553775301120232,-6.59962740826336,4.12192384447402e-11,1.00193057684281e-08
"ENSAMXG00000010810",285.704059162604,-1.12794384553947,0.171885717222954,-6.56217319136766,5.30291715137041e-11,1.27031764630437e-08
"ENSAMXG00000000715",67.599436309003,-2.10206461082737,0.320546192586696,-6.55775878622809,5.46224674949361e-11,1.28979252174828e-08
"ENSAMXG00000007010",154.669435348869,-2.20669333158951,0.337170978980952,-6.5447309203743,5.96026021802363e-11,1.36872575046054e-08
"ENSAMXG00000017884",137.242384885827,-1.61623385919267,0.246953699543494,-6.54468372889474,5.96214253936469e-11,1.36872575046054e-08
"ENSAMXG00000000278",259.591676538441,-1.31529481516615,0.201392152154652,-6.53101325495603,6.53262165424639e-11,1.47914662086354e-08
"ENSAMXG00000004378",181.031037875576,-1.41733056404682,0.217095434290854,-6.528606042207,6.63846046069602e-11,1.48279882371412e-08
"ENSAMXG00000006609",73.2283198589476,-2.69911730244291,0.413868905234579,-6.52167212444498,6.95278716969996e-11,1.52363807018834e-08
"ENSAMXG00000019662",562.559367511193,1.04395810396034,0.160103110355059,6.52053605732685,7.00565632127256e-11,1.52363807018834e-08
"ENSAMXG00000013665",52.3838094798849,-2.6112511847,0.400864335607382,-6.51405214370962,7.31500851292114e-11,1.57025682740355e-08
"ENSAMXG00000018210",196.913067816791,-1.41450909547195,0.2176635826845,-6.49860246728667,8.10695692959386e-11,1.71794732165714e-08
"ENSAMXG00000002544",578.901109351629,1.34581240307345,0.20751105482819,6.48549738320071,8.84395349511415e-11,1.8504013584904e-08
"ENSAMXG00000005869",590.469667261725,1.55747564769373,0.240695191328463,6.47073852658873,9.75250690746634e-11,2.01498983341889e-08
"ENSAMXG00000000460",640.635666784464,-0.794209031998973,0.122868503384887,-6.46389440840753,1.02042089793928e-10,2.0822885212393e-08
"ENSAMXG00000011549",128.085120035627,2.27703641904869,0.35302633462174,6.45004691077363,1.11815535360951e-10,2.25390119997702e-08
"ENSAMXG00000010634",56.5176625653638,-4.1735664786135,0.64755227570277,-6.44514216876785,1.15492104321812e-10,2.29996264136775e-08
"ENSAMXG00000011166",880.460162589232,-0.947612803082216,0.14708855440015,-6.44246458840204,1.17548796876715e-10,2.31305245663717e-08
"ENSAMXG00000001808",419.636366341646,-1.1731092116914,0.182235763820644,-6.43731607395115,1.21604538906574e-10,2.3647075571609e-08
"ENSAMXG00000014938",12.788958332165,-6.91134172526477,1.07546278570851,-6.42638854371109,1.30671150238919e-10,2.51146911895244e-08
"ENSAMXG00000016434",61.0383771388495,-2.56660227374812,0.399832973886107,-6.41918611364759,1.37004830260055e-10,2.60293429812466e-08
"ENSAMXG00000008249",46.6148192877435,-3.71507508885771,0.580716145263169,-6.39740279164119,1.58042029018463e-10,2.9684962473252e-08
"ENSAMXG00000025366",72.6791034473249,-1.79942282354043,0.281950253938428,-6.38205782192125,1.7472396127452e-10,3.24495770326578e-08
"ENSAMXG00000028242",59.4471857152309,2.21637873517591,0.347790419639169,6.37274234717388,1.85677679585393e-10,3.41007373985219e-08
"ENSAMXG00000014068",656.994959087585,1.37152652754679,0.215513176719796,6.36400311304405,1.96562152838166e-10,3.55208021819179e-08
"ENSAMXG00000020536",79.4712146858453,-2.00991935293644,0.315870554565864,-6.36311084994579,1.97707895259026e-10,3.55208021819179e-08
"ENSAMXG00000010351",62.8156253989945,-2.55362348489604,0.401890183604232,-6.35403298979496,2.09741822639895e-10,3.71381383426743e-08
"ENSAMXG00000001215",14.2345307732,-7.07109530583783,1.11309897170976,-6.35262046372782,2.11677538374658e-10,3.71381383426743e-08
"ENSAMXG00000020784",1676.78745356766,1.80380295553406,0.284030701902146,6.35073230976101,2.14292327574485e-10,3.71381383426743e-08
"ENSAMXG00000013470",113.17254981629,1.67738467464867,0.264166423132427,6.34972701965153,2.15697336856236e-10,3.71381383426743e-08
"ENSAMXG00000003191",382.858233517865,-1.13915961629048,0.17950384261951,-6.34615727255004,2.20759558046217e-10,3.76178838654218e-08
"ENSAMXG00000020498",39.7106395581406,-2.37560995661681,0.374772257152979,-6.33880953372465,2.31547267682459e-10,3.90535182400343e-08
"ENSAMXG00000009141",622.635092588811,0.845400284158065,0.133531656426788,6.33108512827875,2.43442977061909e-10,4.06451410894575e-08
"ENSAMXG00000021794",80.5114785727268,-2.63697256019316,0.417136731268548,-6.32160239683017,2.58864750784848e-10,4.24790822056596e-08
"ENSAMXG00000003000",66.5929707299357,-2.17176471134417,0.343569309353026,-6.32118368032876,2.59567263764996e-10,4.24790822056596e-08
"ENSAMXG00000015418",733.766879255973,1.68184009456688,0.266129981495128,6.31961902645557,2.62208920985967e-10,4.24906985782064e-08
"ENSAMXG00000004596",393.547905678,-1.31551868633528,0.208455353837888,-6.31079347263174,2.77608451748048e-10,4.42542218899985e-08
"ENSAMXG00000010171",185.72015507492,1.29768419044837,0.205644520100211,6.31032711115279,2.78446311123471e-10,4.42542218899985e-08
"ENSAMXG00000020261",283.64104316158,1.59294401331324,0.253019284543645,6.29574151308795,3.05933817508326e-10,4.81598101866202e-08
"ENSAMXG00000019884",1417.34394211396,-1.43408476523321,0.227999426837629,-6.28986127344305,3.17749798349724e-10,4.95479850653074e-08
"ENSAMXG00000025714",259.084727132524,-1.55144140162606,0.247094790283483,-6.27872971278004,3.41350410849371e-10,5.27306629993388e-08
"ENSAMXG00000024846",148.044753499891,-1.47824745275114,0.235872517108026,-6.26714579076684,3.67725843007546e-10,5.5946124498193e-08
"ENSAMXG00000025081",13.6805435511953,-7.00530346256839,1.11787333635035,-6.26663436256508,3.68935057795574e-10,5.5946124498193e-08
"ENSAMXG00000002455",1994.77721109975,0.945898066914882,0.151205092309356,6.25572890746058,3.9566352492737e-10,5.94538400320409e-08
"ENSAMXG00000010222",13.240550796291,-6.96202052154302,1.1152514821634,-6.24255661874387,4.30475874981945e-10,6.4102123761951e-08
"ENSAMXG00000015278",58.9677794931845,-2.7393882196231,0.438948528153345,-6.24079600209094,4.35349713988401e-10,6.42490662724489e-08
"ENSAMXG00000006130",57.8664066093978,2.35121232131488,0.377355884564211,6.23075568049025,4.64190558135692e-10,6.78991658002199e-08
"ENSAMXG00000004674",69.6449994662459,-1.94908781870222,0.313874401970074,-6.20976991582782,5.30622348640089e-10,7.69355859708073e-08
"ENSAMXG00000025884",219.885220308628,-1.65015395350315,0.266295427747839,-6.19670404204505,5.76577701720391e-10,8.26635968326977e-08
"ENSAMXG00000018976",76.4392781188111,-2.92864251840219,0.472686732544591,-6.1957366618618,5.80130511984568e-10,8.26635968326977e-08
"ENSAMXG00000015131",157.645791717718,-1.72038291758923,0.278213513195491,-6.18367849149144,6.26248499096183e-10,8.84723200133402e-08
"ENSAMXG00000015412",243.445616264946,1.24049408465208,0.200843625749946,6.1764174990374,6.55724490926472e-10,9.18514416146072e-08
