,CHOY.16.01,CHOY.16.04,CHOY.16.05,CHOY.16.08,CHOY.16.11,CHOY.16.12,CHOY.16.R.01,CHOY.16.R.03,CHOY.16.R.04,CHOY.16.R.05,CHOY.16.R.2
ENSAMXG00000000002,7.54104159624378,8.34388784169636,8.04257737539102,8.42461091951425,8.14646243235168,8.10661829617712,7.5260855165557,7.82915166039318,8.12467855197541,7.93913501257437,7.8798177362111
ENSAMXG00000000004,7.06769384087003,7.31866966339312,7.60397788011233,7.24317524950669,7.12392866520104,6.9831554008493,7.15375827265641,7.47549126235208,7.46156258291676,6.89727619676092,6.91314200565584
ENSAMXG00000000006,6.26663305297111,6.66063115028171,6.56913598830805,6.83236319118137,6.55432076241981,6.87275007481268,6.18092124106899,5.57604768444611,5.57604768444611,5.57604768444611,6.30871153386529
ENSAMXG00000000008,9.83141845520596,9.02553705132188,9.66019709136538,9.0968695081738,9.62332672699928,9.78866106513154,9.31965120006256,9.39717819533872,8.88970491509622,9.01918675395735,9.13631458887764
ENSAMXG00000000012,11.4036497551546,11.8352021408983,12.2034885593295,11.803366513828,12.954282315847,11.8171653861517,11.6608941857457,12.6993083256102,12.8205842961975,12.7467241677404,12.0773206213197
ENSAMXG00000000014,7.94439104299577,7.0385802190814,6.15686422485647,6.91952041570271,6.68540919610485,6.45846428763171,7.66779706860296,6.90776559995927,6.8606798151182,6.6091778337293,6.9710083131988
ENSAMXG00000000016,7.40714752667763,7.61291563651326,7.41368705069736,7.66879211057311,7.77800929404477,7.86367884991878,7.43736033250916,7.88838793598258,7.09199670632923,7.40786941628832,7.6541347784728
ENSAMXG00000000017,6.90138456052944,7.29771933260014,7.28367829023266,7.85491667846212,6.4804671841127,6.97143823091763,7.00893054167172,7.46660047615775,6.98251383111925,6.70323327626285,7.21074979403383
ENSAMXG00000000018,7.10147043154536,7.52816713667053,5.57604768444611,6.95041867454101,7.23819832803579,6.64064262624359,6.50391744671537,5.57604768444611,6.23407630958193,5.57604768444611,6.46873844397947
ENSAMXG00000000019,7.14232246076739,6.27779974412523,7.15063747022616,6.95041867454101,6.62226715773995,6.64064262624359,7.29103009993513,7.43954086274522,7.54771258725359,7.098022038648,7.02592508852063
ENSAMXG00000000022,6.82894185862854,6.46831873918237,6.67615301223546,6.96052220086535,6.27428557865619,6.45846428763171,6.65742762954818,5.57604768444611,6.3203834299061,6.88245673557434,6.49241913809194
ENSAMXG00000000023,9.39841125165702,10.2334152562949,9.38251949415841,9.1882674512804,9.32429192249863,9.6069534972171,9.71831071245009,8.74447760830738,9.43202415568666,9.75436704972697,9.36566567500437
ENSAMXG00000000025,6.15033409676144,6.27779974412523,6.44682383265897,6.88768954808411,6.45427870147941,6.53610831439353,5.57604768444611,5.57604768444611,5.57604768444611,6.26939406564582,5.57604768444611
ENSAMXG00000000027,8.27037622087368,8.65719178199154,8.3272894163312,8.7206659269513,8.51596074277576,7.75750282515924,7.89046022582013,8.4409452212047,8.02096633793366,8.02374146115258,7.81116583784917
ENSAMXG00000000033,7.29974616569985,7.70008775478583,7.95762457594187,7.49017050744425,7.70527986926105,7.86933460078723,7.40632155365263,7.34480055930545,7.73547366193932,7.55010162626895,7.48437502826142
ENSAMXG00000000035,6.36492287702267,6.33760299706285,6.19637869522469,6.28791108055321,6.42718446810656,6.37227897873165,6.23770326483285,6.08865199428771,6.18600525478088,6.09033280629031,6.09687163689493
