ENSID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,RNAlater.v.LN
ENSAMXG00000015251,4894.26936034738,2.71407588352472,0.183427236079556,14.7964715684184,1.5437082645605e-49,2.37931754816711e-45,Up
ENSAMXG00000018789,1053.83210320309,-1.76263782472209,0.171023588064661,-10.3064018517473,6.59234305120153e-25,5.08038917240846e-21,Down
ENSAMXG00000004863,1731.45495167585,1.78038703627491,0.184467475948922,9.6514956206583,4.84439638150568e-22,2.48888938093824e-18,Up
ENSAMXG00000015436,61.6111306392568,-4.34578576355152,0.478915400656072,-9.07422429430787,1.14490088324932e-19,4.41158932838043e-16,Down
ENSAMXG00000001140,327.386357763548,-2.60764191165802,0.298268183786507,-8.74260834177509,2.27789264045495e-18,7.02183185346642e-15,Down
ENSAMXG00000007159,363.881475583757,2.68895700207555,0.308552735773504,8.71474043273241,2.91425595932569e-18,7.48623785018114e-15,Up
ENSAMXG00000016385,1180.80251784904,-1.98153930801973,0.228023760180538,-8.69005627506029,3.62260000267068e-18,7.97644769159473e-15,Down
ENSAMXG00000019823,286.94256904063,-25.9996685334204,3.03773281667813,-8.55890563866377,1.13943928111146e-17,2.19527220497137e-14,Down
ENSAMXG00000011312,817.058810392836,1.31908413615121,0.15570496240308,8.47168976372405,2.41858575484414e-17,4.14196247104587e-14,Up
ENSAMXG00000024995,376.371846366078,2.82399921396931,0.333852674958967,8.45881859211223,2.70099827376884e-17,4.16304863935991e-14,Up
ENSAMXG00000020971,196.671314090007,-25.4808323740276,3.0377794637388,-8.38797966678814,4.9456772568365e-17,6.92979305087464e-14,Down
ENSAMXG00000013348,763.775762192108,-1.37676030043468,0.166850710380484,-8.25145003755235,1.56484057400882e-16,1.85529905901522e-13,Down
ENSAMXG00000015442,169.670917756007,-3.45301934076865,0.418007946316898,-8.26065478226785,1.44875523401191e-16,1.85529905901522e-13,Down
ENSAMXG00000019779,69.6812674181916,-2.44953933512565,0.299072143585564,-8.19046302928191,2.60223098438319e-16,2.86487044016416e-13,Down
ENSAMXG00000006520,362.332137282943,-1.21817172103961,0.149825351658741,-8.13061145896226,4.2713035917041e-16,4.38890681726235e-13,Down
ENSAMXG00000015164,1737.70011824442,2.253196104111,0.278337535225289,8.09519313407455,5.71735675717465e-16,5.50760123114581e-13,Up
ENSAMXG00000013762,89.2152245463573,-24.3235901272047,3.03795813482022,-8.00655869757209,1.17962857022141e-15,1.06950677369544e-12,Down
ENSAMXG00000013242,227.858114744313,-1.94688035471244,0.24382164459195,-7.98485449464773,1.4068815543609e-15,1.2046814109647e-12,Down
ENSAMXG00000010409,115.074631496329,-2.64764116764347,0.334240848712344,-7.92135724237013,2.34931882403289e-15,1.90579215972731e-12,Down
ENSAMXG00000006631,485.477137483366,-0.95485983357791,0.120722584419527,-7.90953770720849,2.58346444152085e-15,1.99094687185804e-12,Down
ENSAMXG00000019665,55.4384747392136,-23.7536351541315,3.03815719120817,-7.81843520897135,5.34840017358722e-15,3.92547104169047e-12,Down
ENSAMXG00000018349,68.2183201788088,23.4358961988625,3.01519813624643,7.77258911019276,7.68978709305581e-15,5.38739493023951e-12,Up
ENSAMXG00000001968,44.1787229262399,-23.4493711230391,3.03829141965436,-7.71794666283418,1.18218647591248e-14,7.92219137097352e-12,Down
ENSAMXG00000019711,110.048912993036,-1.66641778779416,0.217324730702377,-7.66787002293033,1.74875959882067e-14,1.12306798735929e-11,Down
ENSAMXG00000005574,184.882689967219,-1.84821487457965,0.241821667437986,-7.64288367606107,2.12409879363816e-14,1.3095493882538e-11,Down
ENSAMXG00000016011,86.5690968880187,-22.9467584776045,3.03796815481361,-7.55332423127799,4.24286986051847e-14,2.51520589077582e-11,Down
ENSAMXG00000005920,186.436165209366,-1.97761033522454,0.264150583420405,-7.48667790022294,7.0638775153054e-14,4.03242756086675e-11,Down
ENSAMXG00000006234,418.150260412349,-1.86750532388634,0.250451242499369,-7.45656242408559,8.88090295553394e-14,4.7306012581207e-11,Down
ENSAMXG00000009464,283.496585029891,2.19983401879663,0.295031511936774,7.45626799102077,8.90076146665155e-14,4.7306012581207e-11,Up
ENSAMXG00000000911,153.542464507939,1.74341745680851,0.234435771267087,7.43665289382087,1.03268428313053e-13,5.30558761863027e-11,Up
ENSAMXG00000005599,198.483260609189,-1.52941920007571,0.206369739980382,-7.41106327032778,1.25290787648857e-13,6.22937712913493e-11,Down
ENSAMXG00000017217,345.882186167796,-1.45142867285005,0.196200413287144,-7.39768407483347,1.38580063202518e-13,6.67479535668877e-11,Down
ENSAMXG00000000794,20.9252324890284,-22.4338067797606,3.03902456664223,-7.38191030964497,1.56034298435694e-13,7.28774739936165e-11,Down
ENSAMXG00000021468,20.101114078309,-22.3794755641277,3.03908207439801,-7.36389311518042,1.78622734559775e-13,8.09738884638178e-11,Down
ENSAMXG00000015084,302.25540136644,-1.32726559156583,0.182227977904693,-7.28354452936969,3.25161527128732e-13,1.40256995814379e-10,Down
ENSAMXG00000019075,156.431245107373,-2.1611496882935,0.296757752177828,-7.28253827383914,3.27596953825839e-13,1.40256995814379e-10,Down
ENSAMXG00000020324,139.376709026595,-1.40947694565384,0.193795004502016,-7.27303033055827,3.51511356634554e-13,1.46428230805632e-10,Down
ENSAMXG00000008092,188.639874953973,1.71078041267782,0.235358574175301,7.26882553003396,3.62626387704544e-13,1.47083171412898e-10,Up
