gene_id,mean,median,longest_isoform,merged
ENSAMXG00000000001,1387,1387,1387,1387
ENSAMXG00000000002,2742,2742,2742,2742
ENSAMXG00000000003,698,698,698,698
ENSAMXG00000000004,2951,2951,2951,2951
ENSAMXG00000000005,4909,4909,4909,4909
ENSAMXG00000000006,2699,2699,2699,2699
ENSAMXG00000000007,4468,4468,4468,4468
ENSAMXG00000000008,3702,3702,3702,3702
ENSAMXG00000000009,1382,1382,1382,1382
ENSAMXG00000000010,1777,1777,1777,1777
ENSAMXG00000000011,338,338,338,338
ENSAMXG00000000012,3833,3833,3833,3833
ENSAMXG00000000013,730,730,730,730
ENSAMXG00000000014,3144,3144,3144,3144
ENSAMXG00000000015,1317,1317,1317,1317
ENSAMXG00000000016,4361,4361,4361,4361
ENSAMXG00000000017,6532,6532,6532,6532
ENSAMXG00000000018,487,487,487,487
ENSAMXG00000000019,4510,4510,4510,4510
ENSAMXG00000000020,1354,1354,1354,1354
ENSAMXG00000000021,1460,1460,1460,1460
ENSAMXG00000000022,1955,1955,1955,1955
ENSAMXG00000000023,4946,4946,4946,4946
ENSAMXG00000000024,1361,1361,1361,1361
ENSAMXG00000000025,1836,1836,1836,1836
ENSAMXG00000000026,411,411,411,411
ENSAMXG00000000027,6000,5983,6022,6039
ENSAMXG00000000028,611,611,611,611
ENSAMXG00000000029,398,398,398,398
ENSAMXG00000000030,1558,1558,1558,1558
ENSAMXG00000000031,587,587,587,587
ENSAMXG00000000032,7118,7118,7118,7118
ENSAMXG00000000033,1117,1117,1117,1117
ENSAMXG00000000034,1170,1170,1170,1170
ENSAMXG00000000035,2322,2322,2322,2322
ENSAMXG00000000036,3873,3873,3873,3873
ENSAMXG00000000037,3969,3969,3969,3969
ENSAMXG00000000038,1715,1715,1715,1715
ENSAMXG00000000039,4153,4153,4153,4153
ENSAMXG00000000040,1547,1547,1547,1547
ENSAMXG00000000041,2244,2244,2244,2244
ENSAMXG00000000042,2289,2289,2289,2289
ENSAMXG00000000043,2212,2212,2212,2212
ENSAMXG00000000044,1829,1829,1829,1829
ENSAMXG00000000045,1955,1955,1955,1955
ENSAMXG00000000046,3826,3826,3826,3826
ENSAMXG00000000047,2440,2440,2440,2440
ENSAMXG00000000048,1286,1286,1286,1286
ENSAMXG00000000049,7797,7797,7797,7797
ENSAMXG00000000050,1002,1002,1002,1002
ENSAMXG00000000051,1274,1274,1274,1274
ENSAMXG00000000052,6515,6515,6515,6515
ENSAMXG00000000053,1652,1652,1652,1652
ENSAMXG00000000054,4869,4869,4869,4869
ENSAMXG00000000055,1407,1407,1407,1407
ENSAMXG00000000056,2714,2714,2714,2714
ENSAMXG00000000057,843,843,843,843
ENSAMXG00000000058,4261,4261,4261,4261
ENSAMXG00000000059,4748,4748,4748,4748
ENSAMXG00000000060,5094,5094,5094,5094
ENSAMXG00000000061,4119,4119,4119,4119
ENSAMXG00000000062,4425,4425,4425,4425
ENSAMXG00000000063,2803,2803,2803,2803
ENSAMXG00000000064,2352,2352,2352,2352
ENSAMXG00000000065,498,498,498,498
ENSAMXG00000000066,1206,1206,1206,1206
ENSAMXG00000000067,3336,3336,3336,3336
ENSAMXG00000000068,2087,2395,2395,2452
ENSAMXG00000000069,2866,2866,2866,2866
ENSAMXG00000000070,1562,1562,1562,1562
ENSAMXG00000000071,1686,1686,1686,1686
ENSAMXG00000000072,1616,1616,1616,1616
ENSAMXG00000000073,5684,5684,5684,5684
ENSAMXG00000000074,11921,11921,11921,11921
ENSAMXG00000000075,2640,2640,2640,2640
ENSAMXG00000000076,4271,4271,4271,4271
ENSAMXG00000000077,1158,1158,1158,1158
ENSAMXG00000000078,3280,3280,3280,3280
ENSAMXG00000000079,1413,1413,1413,1413
ENSAMXG00000000080,2343,2343,2343,2343
ENSAMXG00000000081,1240,1240,1240,1240
ENSAMXG00000000082,1080,1080,1080,1080
ENSAMXG00000000083,1912,1912,1912,1912
ENSAMXG00000000084,1319,1319,1319,1319
ENSAMXG00000000085,4010,4010,4010,4010
ENSAMXG00000000086,1778,1778,1778,1778
ENSAMXG00000000087,2043,2043,2043,2043
ENSAMXG00000000088,768,768,768,768
ENSAMXG00000000089,743,743,743,743
ENSAMXG00000000090,1204,1204,1204,1204
ENSAMXG00000000091,1601,1601,1601,1601
ENSAMXG00000000092,504,504,504,504
ENSAMXG00000000093,1738,1738,1738,1738
ENSAMXG00000000094,766,766,766,766
ENSAMXG00000000095,6249,6249,6249,6249
ENSAMXG00000000096,4218,4218,4218,4218
ENSAMXG00000000097,7264,7264,7264,7264
ENSAMXG00000000098,2735,2735,2735,2735
ENSAMXG00000000099,1614,1614,1614,1614
ENSAMXG00000000100,3849,3849,3849,3849
ENSAMXG00000000101,3188,3188,3188,3188
ENSAMXG00000000102,696,696,696,696
ENSAMXG00000000103,2344,2344,2344,2344
ENSAMXG00000000104,577,577,577,577
ENSAMXG00000000105,1206,1206,1206,1206
ENSAMXG00000000106,6163,6163,6163,6163
ENSAMXG00000000107,2308,2308,2308,2308
ENSAMXG00000000108,5144,5144,5144,5144
ENSAMXG00000000109,4893,4893,4893,4893
ENSAMXG00000000110,4701,4701,4701,4701
ENSAMXG00000000111,1316,1316,1316,1316
ENSAMXG00000000112,3032,3032,3032,3032
ENSAMXG00000000113,2140,2140,2140,2140
ENSAMXG00000000114,3281,3281,3281,3281
ENSAMXG00000000115,3763,3763,3763,3763
ENSAMXG00000000116,1119,1119,1119,1119
ENSAMXG00000000117,2365,2365,2365,2365
ENSAMXG00000000118,1135,1135,1135,1135
ENSAMXG00000000119,2339,2339,2339,2339
ENSAMXG00000000120,3476,3476,3476,3476
ENSAMXG00000000121,1061,1061,1061,1061
ENSAMXG00000000122,2042,2042,2042,2042
ENSAMXG00000000123,4275,4275,4275,4275
ENSAMXG00000000124,4766,4766,4766,4766
ENSAMXG00000000125,3535,3535,3535,3535
ENSAMXG00000000126,4829,4829,4829,4829
ENSAMXG00000000127,883,883,883,883
ENSAMXG00000000128,1063,1063,1063,1063
ENSAMXG00000000129,3089,3089,3089,3089
ENSAMXG00000000130,2249,2249,2249,2249
ENSAMXG00000000131,2510,2510,2529,2646
ENSAMXG00000000132,2119,2119,2119,2119
ENSAMXG00000000133,744,744,744,744
ENSAMXG00000000134,5139,5139,5139,5139
ENSAMXG00000000135,5352,5352,5352,5352
ENSAMXG00000000136,384,384,384,384
ENSAMXG00000000137,3533,3533,3533,3533
ENSAMXG00000000138,1294,1294,1294,1294
ENSAMXG00000000139,1697,1697,1697,1697
ENSAMXG00000000140,2215,2215,2215,2215
ENSAMXG00000000141,1760,1760,1760,1760
ENSAMXG00000000142,2252,2252,2252,2252
ENSAMXG00000000143,5469,5469,5469,5469
ENSAMXG00000000144,678,678,678,678
ENSAMXG00000000145,5113,5113,5113,5113
ENSAMXG00000000146,2061,2061,2061,2061
ENSAMXG00000000147,825,825,825,825
ENSAMXG00000000148,141,141,141,141
ENSAMXG00000000149,4265,4265,4265,4265
ENSAMXG00000000150,1956,1956,1956,1956
ENSAMXG00000000151,9312,9312,9312,9312
ENSAMXG00000000152,1539,1539,1539,1539
ENSAMXG00000000153,4762,4762,4762,4762
ENSAMXG00000000154,11358,11358,11358,11358
ENSAMXG00000000155,7244,7244,7244,7244
ENSAMXG00000000156,1407,1407,1407,1407
ENSAMXG00000000157,2320,2320,2320,2320
ENSAMXG00000000158,819,819,819,819
ENSAMXG00000000159,4023,3906,4163,4557
ENSAMXG00000000160,2884,2884,2884,2884
ENSAMXG00000000161,2950,2950,2950,2950
ENSAMXG00000000162,3177,3177,3177,3177
ENSAMXG00000000163,2313,2313,2313,2313
ENSAMXG00000000164,2457,2457,2457,2457
ENSAMXG00000000165,3048,3048,3048,3048
ENSAMXG00000000166,909,909,909,909
ENSAMXG00000000167,945,945,945,945
ENSAMXG00000000168,1084,1084,1084,1084
ENSAMXG00000000169,412,412,412,412
ENSAMXG00000000170,933,933,933,933
ENSAMXG00000000171,4789,4789,4789,4789
ENSAMXG00000000172,2700,2700,2700,2700
ENSAMXG00000000173,1225,1225,1225,1225
ENSAMXG00000000174,4695,4695,4695,4695
ENSAMXG00000000175,1136,1136,1136,1136
ENSAMXG00000000176,5825,5825,5825,5825
ENSAMXG00000000177,1977,1977,1977,1977
ENSAMXG00000000178,1877,1879,1879,1879
