gene_id,gene_length,GC_length,GC_prop
ENSAMXG00000000001,273,120,0.43956044
ENSAMXG00000000002,2742,1227,0.447483589
ENSAMXG00000000003,294,150,0.510204082
ENSAMXG00000000004,1125,606,0.538666667
ENSAMXG00000000005,672,367,0.546130952
ENSAMXG00000000006,1578,871,0.551964512
ENSAMXG00000000007,1131,655,0.57913351
ENSAMXG00000000008,1296,659,0.508487654
ENSAMXG00000000009,402,179,0.445273632
ENSAMXG00000000010,1728,821,0.475115741
ENSAMXG00000000011,336,175,0.520833333
ENSAMXG00000000012,801,405,0.505617978
ENSAMXG00000000013,207,97,0.468599034
ENSAMXG00000000014,669,355,0.53064275
ENSAMXG00000000015,1317,573,0.435079727
ENSAMXG00000000016,1728,944,0.546296296
ENSAMXG00000000017,2484,1322,0.532206119
ENSAMXG00000000018,384,176,0.458333333
ENSAMXG00000000019,2649,1553,0.586258966
ENSAMXG00000000020,471,198,0.420382166
ENSAMXG00000000021,387,189,0.488372093
ENSAMXG00000000022,660,291,0.440909091
ENSAMXG00000000023,1443,824,0.571032571
ENSAMXG00000000024,1071,534,0.49859944
ENSAMXG00000000025,1836,1167,0.635620915
ENSAMXG00000000026,336,193,0.574404762
ENSAMXG00000000027,957,515,0.538140021
ENSAMXG00000000028,432,233,0.539351852
ENSAMXG00000000029,387,216,0.558139535
ENSAMXG00000000030,1077,555,0.515320334
ENSAMXG00000000031,453,241,0.53200883
ENSAMXG00000000032,3318,1635,0.492766727
ENSAMXG00000000033,582,310,0.532646048
ENSAMXG00000000034,1170,682,0.582905983
ENSAMXG00000000035,2100,1026,0.488571429
ENSAMXG00000000036,3873,1844,0.476116705
ENSAMXG00000000037,3969,1905,0.479969766
ENSAMXG00000000038,990,587,0.592929293
ENSAMXG00000000039,3639,1943,0.533937895
ENSAMXG00000000040,741,424,0.57219973
ENSAMXG00000000041,2244,1152,0.513368984
ENSAMXG00000000042,1479,788,0.532792427
ENSAMXG00000000043,510,271,0.531372549
ENSAMXG00000000044,1788,1088,0.608501119
ENSAMXG00000000045,282,120,0.425531915
ENSAMXG00000000046,987,520,0.526849037
ENSAMXG00000000047,1533,889,0.579908676
ENSAMXG00000000048,786,399,0.507633588
ENSAMXG00000000049,2862,1504,0.525506639
ENSAMXG00000000050,1002,529,0.527944112
ENSAMXG00000000051,450,203,0.451111111
ENSAMXG00000000052,1848,891,0.482142857
ENSAMXG00000000053,1194,630,0.527638191
ENSAMXG00000000054,1695,777,0.45840708
ENSAMXG00000000055,1407,796,0.565742715
ENSAMXG00000000056,1227,663,0.540342298
ENSAMXG00000000057,672,354,0.526785714
ENSAMXG00000000058,2442,1170,0.479115479
ENSAMXG00000000059,1602,806,0.503121099
ENSAMXG00000000060,1395,679,0.486738351
ENSAMXG00000000061,1752,958,0.546803653
ENSAMXG00000000062,4425,2242,0.506666667
ENSAMXG00000000063,1317,696,0.528473804
ENSAMXG00000000064,1533,782,0.510110894
ENSAMXG00000000065,498,245,0.491967871
ENSAMXG00000000066,1206,528,0.437810945
ENSAMXG00000000067,3336,1714,0.513788969
ENSAMXG00000000068,1959,1061,0.541602859
ENSAMXG00000000069,918,587,0.639433551
ENSAMXG00000000070,903,612,0.677740864
ENSAMXG00000000071,567,253,0.446208113
ENSAMXG00000000072,1149,676,0.588337685
ENSAMXG00000000073,1134,691,0.609347443
ENSAMXG00000000074,10881,5424,0.498483595
ENSAMXG00000000075,1122,537,0.478609626
ENSAMXG00000000076,801,413,0.515605493
ENSAMXG00000000077,855,422,0.493567251
ENSAMXG00000000078,537,263,0.489757914
ENSAMXG00000000079,699,349,0.499284692
ENSAMXG00000000080,444,196,0.441441441
ENSAMXG00000000081,1035,513,0.495652174
ENSAMXG00000000082,1080,508,0.47037037
ENSAMXG00000000083,474,269,0.567510549
ENSAMXG00000000084,654,332,0.50764526
ENSAMXG00000000085,2019,1001,0.495789995
ENSAMXG00000000086,1479,795,0.537525355
ENSAMXG00000000087,2043,1071,0.524229075
ENSAMXG00000000088,768,369,0.48046875
ENSAMXG00000000089,408,236,0.578431373
ENSAMXG00000000090,864,492,0.569444444
