gene_id,gene_length,GC_length,GC_prop,mean,median,longest_isoform,merged,exon_number,SSR,HPR
ENSAMXG00000000001,273,120,0.43956044,1387,1387,1387,1387,2,1,0
ENSAMXG00000000002,2742,1227,0.447483589,2742,2742,2742,2742,9,0,0
ENSAMXG00000000003,294,150,0.510204082,698,698,698,698,3,1,1
ENSAMXG00000000004,1125,606,0.538666667,2951,2951,2951,2951,7,1,0
ENSAMXG00000000005,672,367,0.546130952,4909,4909,4909,4909,4,1,0
ENSAMXG00000000006,1578,871,0.551964512,2699,2699,2699,2699,6,1,0
ENSAMXG00000000007,1131,655,0.57913351,4468,4468,4468,4468,3,1,0
ENSAMXG00000000008,1296,659,0.508487654,3702,3702,3702,3702,7,0,0
ENSAMXG00000000009,402,179,0.445273632,1382,1382,1382,1382,2,1,0
ENSAMXG00000000010,1728,821,0.475115741,1777,1777,1777,1777,12,0,0
ENSAMXG00000000011,336,175,0.520833333,338,338,338,338,4,1,0
ENSAMXG00000000012,801,405,0.505617978,3833,3833,3833,3833,6,1,1
ENSAMXG00000000013,207,97,0.468599034,730,730,730,730,2,1,1
ENSAMXG00000000014,669,355,0.53064275,3144,3144,3144,3144,4,0,0
ENSAMXG00000000015,1317,573,0.435079727,1317,1317,1317,1317,2,1,1
ENSAMXG00000000016,1728,944,0.546296296,4361,4361,4361,4361,11,1,0
ENSAMXG00000000017,2484,1322,0.532206119,6532,6532,6532,6532,22,1,0
ENSAMXG00000000018,384,176,0.458333333,487,487,487,487,3,1,1
ENSAMXG00000000019,2649,1553,0.586258966,4510,4510,4510,4510,11,1,1
ENSAMXG00000000020,471,198,0.420382166,1354,1354,1354,1354,3,1,0
ENSAMXG00000000021,387,189,0.488372093,1460,1460,1460,1460,3,1,0
ENSAMXG00000000022,660,291,0.440909091,1955,1955,1955,1955,6,0,0
ENSAMXG00000000023,1443,824,0.571032571,4946,4946,4946,4946,4,0,0
ENSAMXG00000000024,1071,534,0.49859944,1361,1361,1361,1361,11,1,0
ENSAMXG00000000025,1836,1167,0.635620915,1836,1836,1836,1836,5,1,0
ENSAMXG00000000026,336,193,0.574404762,411,411,411,411,3,1,1
