gene_id SSR HPR
ENSAMXG00000000002 1 1
ENSAMXG00000000004 1 1
ENSAMXG00000000008 1 0
ENSAMXG00000000008 1 1
ENSAMXG00000000010 1 0
ENSAMXG00000000017 1 1
ENSAMXG00000000019 1 1
ENSAMXG00000000023 1 1
ENSAMXG00000000024 1 1
ENSAMXG00000000029 1 0
ENSAMXG00000000032 1 1
ENSAMXG00000000033 1 0
ENSAMXG00000000033 1 1
ENSAMXG00000000034 1 0
ENSAMXG00000000035 1 1
ENSAMXG00000000036 1 1
ENSAMXG00000000037 1 1
ENSAMXG00000000039 1 1
ENSAMXG00000000040 0 0
ENSAMXG00000000041 1 0
ENSAMXG00000000044 1 1
ENSAMXG00000000047 1 1
ENSAMXG00000000049 1 1
ENSAMXG00000000053 1 1
ENSAMXG00000000055 1 0
ENSAMXG00000000057 1 1
ENSAMXG00000000061 1 1
ENSAMXG00000000062 1 1
ENSAMXG00000000065 1 0
ENSAMXG00000000066 1 1
ENSAMXG00000000067 1 1
ENSAMXG00000000068 1 1
ENSAMXG00000000070 1 1
ENSAMXG00000000072 1 1
ENSAMXG00000000074 1 1
ENSAMXG00000000075 1 0
ENSAMXG00000000075 1 1
ENSAMXG00000000077 1 0
ENSAMXG00000000077 1 1
ENSAMXG00000000079 1 1
ENSAMXG00000000081 1 1
ENSAMXG00000000086 1 1
ENSAMXG00000000087 1 1
ENSAMXG00000000088 1 1
ENSAMXG00000000090 1 1
ENSAMXG00000000093 1 1
ENSAMXG00000000099 1 0
ENSAMXG00000000100 1 1
ENSAMXG00000000103 1 1
ENSAMXG00000000104 1 1
ENSAMXG00000000107 1 1
ENSAMXG00000000110 1 0
ENSAMXG00000000112 1 0
ENSAMXG00000000112 1 1
ENSAMXG00000000116 1 1
ENSAMXG00000000117 1 0
ENSAMXG00000000120 1 1
ENSAMXG00000000123 1 1
ENSAMXG00000000127 1 0
ENSAMXG00000000130 1 0
ENSAMXG00000000131 1 1
ENSAMXG00000000132 1 1
ENSAMXG00000000133 0 0
ENSAMXG00000000133 1 1
ENSAMXG00000000135 1 1
ENSAMXG00000000139 1 1
ENSAMXG00000000141 1 1
ENSAMXG00000000142 1 0
ENSAMXG00000000142 1 1
ENSAMXG00000000144 1 1
ENSAMXG00000000146 1 0
ENSAMXG00000000149 1 1
ENSAMXG00000000152 1 1
ENSAMXG00000000155 1 1
ENSAMXG00000000157 1 1
ENSAMXG00000000159 1 1
ENSAMXG00000000160 1 1
ENSAMXG00000000161 1 0
ENSAMXG00000000161 1 1
ENSAMXG00000000162 1 1
ENSAMXG00000000164 1 1
ENSAMXG00000000165 1 1
ENSAMXG00000000173 1 0
ENSAMXG00000000173 1 1
ENSAMXG00000000175 1 0
ENSAMXG00000000178 1 1
ENSAMXG00000000179 1 1
ENSAMXG00000000180 1 1
ENSAMXG00000000183 1 1
ENSAMXG00000000184 0 0
ENSAMXG00000000186 1 1
ENSAMXG00000000187 1 1
ENSAMXG00000000188 1 1
ENSAMXG00000000189 1 1
ENSAMXG00000000190 1 1
ENSAMXG00000000191 1 1
ENSAMXG00000000192 1 1
ENSAMXG00000000193 1 0
ENSAMXG00000000193 1 1
ENSAMXG00000000196 0 0
ENSAMXG00000000197 1 1
ENSAMXG00000000198 1 1
ENSAMXG00000000199 1 0
ENSAMXG00000000202 1 1
ENSAMXG00000000204 1 0
ENSAMXG00000000204 1 1
ENSAMXG00000000206 1 1
ENSAMXG00000000207 1 1
ENSAMXG00000000210 1 1
ENSAMXG00000000211 1 1
ENSAMXG00000000214 1 0
ENSAMXG00000000215 1 0
ENSAMXG00000000217 1 1
ENSAMXG00000000221 1 1
ENSAMXG00000000228 1 1
ENSAMXG00000000229 1 1
ENSAMXG00000000230 1 0
ENSAMXG00000000230 1 1
ENSAMXG00000000233 1 0
ENSAMXG00000000234 1 0
