gene_id,exon_number
ENSAMXG00000000001,2
ENSAMXG00000000002,9
ENSAMXG00000000003,3
ENSAMXG00000000004,7
ENSAMXG00000000005,4
ENSAMXG00000000006,6
ENSAMXG00000000007,3
ENSAMXG00000000008,7
ENSAMXG00000000009,2
ENSAMXG00000000010,12
ENSAMXG00000000011,4
ENSAMXG00000000012,6
ENSAMXG00000000013,2
ENSAMXG00000000014,4
ENSAMXG00000000015,2
ENSAMXG00000000016,11
ENSAMXG00000000017,22
ENSAMXG00000000018,3
ENSAMXG00000000019,11
ENSAMXG00000000020,3
ENSAMXG00000000021,3
ENSAMXG00000000022,6
ENSAMXG00000000023,4
ENSAMXG00000000024,11
ENSAMXG00000000025,5
ENSAMXG00000000026,3
ENSAMXG00000000027,8
ENSAMXG00000000028,3
ENSAMXG00000000029,2
ENSAMXG00000000030,14
ENSAMXG00000000031,2
ENSAMXG00000000032,19
ENSAMXG00000000033,4
ENSAMXG00000000034,9
ENSAMXG00000000035,19
ENSAMXG00000000036,3
ENSAMXG00000000037,26
ENSAMXG00000000038,4
ENSAMXG00000000039,23
ENSAMXG00000000040,5
ENSAMXG00000000041,24
ENSAMXG00000000042,11
ENSAMXG00000000043,6
ENSAMXG00000000044,6
ENSAMXG00000000045,2
ENSAMXG00000000046,7
ENSAMXG00000000047,8
ENSAMXG00000000048,8
ENSAMXG00000000049,25
ENSAMXG00000000050,2
ENSAMXG00000000051,5
ENSAMXG00000000052,13
ENSAMXG00000000053,6
ENSAMXG00000000054,14
ENSAMXG00000000055,9
ENSAMXG00000000056,6
ENSAMXG00000000057,3
ENSAMXG00000000058,12
ENSAMXG00000000059,8
ENSAMXG00000000060,11
ENSAMXG00000000061,16
ENSAMXG00000000062,36
ENSAMXG00000000063,5
ENSAMXG00000000064,12
ENSAMXG00000000065,2
ENSAMXG00000000066,11
ENSAMXG00000000067,29
ENSAMXG00000000068,17
ENSAMXG00000000069,2
ENSAMXG00000000070,2
ENSAMXG00000000071,7
ENSAMXG00000000072,6
ENSAMXG00000000073,2
ENSAMXG00000000074,66
ENSAMXG00000000075,10
ENSAMXG00000000076,7
ENSAMXG00000000077,9
ENSAMXG00000000078,5
ENSAMXG00000000079,5
ENSAMXG00000000080,5
ENSAMXG00000000081,6
ENSAMXG00000000082,2
ENSAMXG00000000083,4
ENSAMXG00000000084,6
ENSAMXG00000000085,5
ENSAMXG00000000086,4
ENSAMXG00000000087,24
ENSAMXG00000000088,7
ENSAMXG00000000089,2
ENSAMXG00000000090,6
ENSAMXG00000000091,15
ENSAMXG00000000092,5
ENSAMXG00000000093,8
ENSAMXG00000000094,2
ENSAMXG00000000095,11
ENSAMXG00000000096,8
ENSAMXG00000000097,18
ENSAMXG00000000098,12
ENSAMXG00000000099,3
ENSAMXG00000000100,28
ENSAMXG00000000101,2
ENSAMXG00000000102,4
ENSAMXG00000000103,7
ENSAMXG00000000104,6
ENSAMXG00000000105,11
ENSAMXG00000000106,54
ENSAMXG00000000107,16
ENSAMXG00000000108,10
ENSAMXG00000000109,17
ENSAMXG00000000110,31
ENSAMXG00000000111,3
ENSAMXG00000000112,22
ENSAMXG00000000113,7
ENSAMXG00000000114,20
ENSAMXG00000000115,23
ENSAMXG00000000116,13
ENSAMXG00000000117,12
ENSAMXG00000000118,6
ENSAMXG00000000119,8
ENSAMXG00000000120,6
ENSAMXG00000000121,5
ENSAMXG00000000122,4
ENSAMXG00000000123,16
ENSAMXG00000000124,7
ENSAMXG00000000125,10
ENSAMXG00000000126,7
ENSAMXG00000000127,7
ENSAMXG00000000128,5
ENSAMXG00000000129,4
ENSAMXG00000000130,7
ENSAMXG00000000131,4
ENSAMXG00000000132,14
ENSAMXG00000000133,6
ENSAMXG00000000134,14
ENSAMXG00000000135,22
ENSAMXG00000000136,3
ENSAMXG00000000137,4
ENSAMXG00000000138,3
ENSAMXG00000000139,10
ENSAMXG00000000140,5
ENSAMXG00000000141,8
ENSAMXG00000000142,10
ENSAMXG00000000143,7
ENSAMXG00000000144,7
ENSAMXG00000000145,16
ENSAMXG00000000146,8
ENSAMXG00000000147,3
ENSAMXG00000000148,2
ENSAMXG00000000149,16
ENSAMXG00000000150,15
